"","incident_number","exposure_number","alarm_date","alarm_time","incident_type","incident_description","estimated_property_loss","estimated_content_loss","district","city_section","neighborhood","zip","property_use","property_description","street_number","street_prefix","street_name","street_suffix","street_type","address_2","xstreet_prefix","xstreet_name","xstreet_suffix","xstreet_type","loss_sum","fire"
"22899","22-0065743",0,"2022-09-26","21:23:17","746","Carbon monoxide detector activation, no CO",0,0,"09","RX","Roxbury","02119","429","Multifamily dwelling","125","","CENTRE","","ST","","","","","",0,0
"96045","21-0026686",0,"2021-05-18","11:04:50","553","Public service",0,0,"06","SB","South Boston","02127","400","Residential, Other","182","W","SEVENTH","","ST","","","","","",0,0
"109102","21-0004923",0,"2021-01-27","23:29:03","611","Dispatched & cancelled en route",0,0,"04","BO","Boston","02118","","","1740","","WASHINGTON","","ST","","","","","",0,0
"269213","17-0064459",0,"2017-09-29","19:35:11","553","Public service",0,0,"09","RX","Roxbury","02215","960","Street, Other","477","","LONGWOOD","","AVE",": @TEMPLE ISRAEL INC - 477 LONGWOOD AVE,","","","","",0,0
"274578","17-0054649",0,"2017-08-22","18:13:23","734","Heat detector activation due to malfunction",0,0,"01","EB","East Boston","02128","429","Multifamily dwelling","54","","ORLEANS","","ST","","","","","",0,0
"370878","15-0047604",0,"2015-07-29","16:00:05","553","Public service",0,0,"06","SB","South Boston","02127","900","Outside or special property, Other","561","","DORCHESTER","","AVE",": @MBTA STA-ANDREW","","","","",0,0
"112312","20-0073933",0,"2020-12-28","23:21:52","600","Good intent call, Other",0,0,"07","DO","Dorchester","02125","419","1 or 2 family dwelling","100","","SYDNEY","","ST","","","","","",0,0
"237057","18-0034492",0,"2018-05-29","19:20:39","551","Assist police or other governmental agency",0,0,"12","HP","Hyde Park","02136","963","Street or road in commercial area","1205","","HYDE PARK","","AVE","","","","","",0,0
"227842","18-0050167",0,"2018-08-02","12:01:49","745","Alarm system activation, no fire - unintentional",0,0,"06","SB","South Boston","02210","599","Business office","12-22","","THOMSON","","PL",": alias 12-22 THOMPSON PL SB BSTN","","","","",0,0
"109471","21-0004017",0,"2021-01-23","05:26:19","554","Assist invalid",0,0,"03","BO","Boston","02114","429","Multifamily dwelling","33","","BLOSSOM","","ST","","","","","",0,0
"16022","22-0076684",0,"2022-11-07","06:06:29","553","Public service",0,0,"06","SB","South Boston","02127","000","Property Use, Other","9","W","BROADWAY","","",": @MBTA STA-BROADWAY","","","","",0,0
"242083","18-0025322",0,"2018-04-19","17:53:18","552","Police matter",0,0,"11","BR","Allston-Brighton","02134","519","Food and beverage sales, grocery store","210","","BRIGHTON","","AVE",": @BURGER KING - 210 BRIGHTON AVE, BRIGH","","","","",0,0
"178509","19-0047958",0,"2019-08-01","19:39:53","553","Public service",0,0,"07","RX","Roxbury","02119","919","Dump, sanitary landfill","","","MELNEA CASS","","BLVD",": alias CASS BLVD/HAMPDEN ST RX BSTN","","HAMPDEN","","ST",0,0
"161932","19-0075891",0,"2019-11-22","19:12:27","551","Assist police or other governmental agency",0,0,"07","DO","Dorchester","02124","429","Multifamily dwelling","12","","BOYD","","ST","","","","","",0,0
"122278","20-0057598",0,"2020-10-07","21:49:07","553","Public service",0,0,"01","EB","East Boston","02128","459","Residential board and care","10","","MOORE","","ST","","","","","",0,0
"24036","22-0063540",0,"2022-09-18","11:51:10","553","Public service",0,0,"03","BO","Boston","02114","900","Outside or special property, Other","","","BEVERLY","","ST",": alias BEVERLY ST/VALENTI","","ANTHONY RIP VALENTI","","WAY",0,0
"183083","19-0040074",0,"2019-07-02","04:17:22","113","Cooking fire, confined to container",0,0,"09","RX","Roxbury","02121","400","Residential, Other","79-83","","HUTCHINGS","","ST","","","","","",0,0
"204224","19-0004054",0,"2019-01-20","15:09:36","554","Assist invalid",0,0,"09","RX","Roxbury","02119","419","1 or 2 family dwelling","1","","CENTRE","","PL","","","","","",0,0
"357745","15-0070682",0,"2015-11-05","08:57:59","900T","BFD Drill",0,0,"08","DO","Dorchester","02122","000","Property Use, Other","20","","ERICSSON","","ST","","","","","",0,0
"193526","19-0022427",0,"2019-04-15","13:39:34","611","Dispatched & cancelled en route",0,0,"11","BR","Allston-Brighton","02135","UUU","Undetermined","1750","","COMMONWEALTH","","AVE","","","","","",0,0
"249314","18-0012257",0,"2018-02-20","09:05:00","714","Central station, malicious false alarm",0,0,"04","BO","Boston","02215","429","Multifamily dwelling","464-466","","COMMONWEALTH","","AVE",": #AFA7973","","","","",0,0
"293484","17-0019669",0,"2017-03-30","13:42:22","113","Cooking fire, confined to container",10,10,"12","HP","Hyde Park","02136","400","Residential, Other","11","","SUMMER","","ST",": #13-3816","","","","",20,0
"92947","21-0031748",0,"2021-06-09","01:05:27","550","Public service assistance, Other",0,0,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","76","","ELM","","ST","","","","","",0,0
"305752","16-0083046",0,"2016-12-17","15:21:00","553","Public service",0,0,"09","JP","Jamaica Plain","02130","900","Outside or special property, Other","9","","CALVIN","","RD","","","","","",0,0
"205803","19-0001329",0,"2019-01-07","14:49:25","113","Cooking fire, confined to container",0,0,"04","BO","Boston","02115","429","Multifamily dwelling","120","","NORWAY","","ST","","","","","",0,0
"17522","22-0074541",0,"2022-10-29","21:12:28","553","Public service",0,0,"04","BO","Boston","02116","400","Residential, Other","80","","BROADWAY","","ST","","","","","",0,0
"1765","23-0009513",0,"2023-02-06","01:08:25","553","Public service",0,0,"07","DO","Dorchester","02124","900","Outside or special property, Other","","","BLUE HILL","","AVE","","","HARVARD","","ST",0,0
"109746","21-0003683",0,"2021-01-21","12:42:26","611","Dispatched & cancelled en route",0,0,"07","DO","Dorchester","02125","","","","","SYDNEY","","ST","","","SAVIN HILL","","AVE",0,0
"121039","20-0059385",0,"2020-10-16","14:28:59","745","Alarm system activation, no fire - unintentional",0,0,"06","SB","South Boston","02127","429","Multifamily dwelling","658","E","SEVENTH","","ST","","","","","",0,0
"70137","21-0068900",0,"2021-11-06","01:56:52","621","Wrong location",0,0,"09","JP","Jamaica Plain","02130","NNN","None","310","","CENTRE","","ST","","","","","",0,0
"332629","16-0033861",0,"2016-05-30","19:58:11","400","Hazardous condition, Other",0,0,"01","EB","East Boston","02128","429","Multifamily dwelling","9","","PARIS","","ST","","","","","",0,0
"146199","20-0018291",0,"2020-03-30","22:34:52","440","Electrical  wiring/equipment problem, Other",0,0,"11","BR","Allston-Brighton","02134","429","Multifamily dwelling","10","","ALLSTON","","ST","","","","","",0,0
"9482","22-0088106",0,"2022-12-23","16:25:27","553","Public service",0,0,"10","WR","West Roxbury","02132","962","Residential street, road or residential driveway","74","","DE SOTO","","RD","","","","","",0,0
"186659","19-0034435",0,"2019-06-08","16:33:46","554","Assist invalid",0,0,"01","EB","East Boston","02128","419","1 or 2 family dwelling","228","","PRINCETON","","ST","","","","","",0,0
"137204","20-0032911",0,"2020-06-17","14:15:18","554","Assist invalid",0,0,"06","RX","Roxbury","02118","900","Outside or special property, Other","","","TOPEKA","","ST","","","SOUTHAMPTON","","ST",0,0
"205969","19-0000892",0,"2019-01-05","10:06:26","600","Good intent call, Other",0,0,"07","RX","Roxbury","02119","963","Street or road in commercial area","985","","MASSACHUSETTS","","AVE","","","","","",0,0
"422282","14-0030345",0,"2014-06-04","10:57:08","113","Cooking fire, confined to container",0,0,"04","","","02116","131","Church, mosque, synagogue, temple, chapel","000072","","COMMONWEALTH","","AV","ISKCON OF NEW ENGLAND","","","","",0,0
"227448","18-0051097",0,"2018-08-05","19:19:52","733","Smoke detector activation due to malfunction",0,0,"11","BR","Allston-Brighton","02134","419","1 or 2 family dwelling","12","","EVERETT","","SQ","","","","","",0,0
"286680","17-0032558",0,"2017-05-24","20:28:32","400","Hazardous condition, Other",0,0,"11","BR","Allston-Brighton","02134","519","Food and beverage sales, grocery store","1-7","","BRIGHTON","","AVE","","","","","",0,0
"257315","17-0085221",0,"2017-12-28","08:42:39","745","Alarm system activation, no fire - unintentional",0,0,"04","BO","Boston","02118","429","Multifamily dwelling","158","W","NEWTON","","ST","","","","","",0,0
"181792","19-0042492",0,"2019-07-11","14:41:07","554","Assist invalid",0,0,"03","CH","Charlestown","02129","429","Multifamily dwelling","104","","FIRST","","AVE","","","","","",0,0
"49414","22-0021555",0,"2022-04-09","22:06:49","733","Smoke detector activation due to malfunction",0,0,"06","SB","South Boston","02127","419","1 or 2 family dwelling","264","","BOLTON","","ST","","","","","",0,0
"369346","15-0050257",0,"2015-08-09","15:05:57","621","Wrong location",0,0,"09","JP","Jamaica Plain","02130","900","Outside or special property, Other","19","","UNION","","AVE","","","","","",0,0
"341608","16-0016737",0,"2016-03-15","14:43:24","553","Public service",0,0,"07","DO","Dorchester","02121","962","Residential street, road or residential driveway","56","","BOWDOIN","","AVE","","","","","",0,0
"86120","21-0043074",0,"2021-07-25","10:24:27","600","Good intent call, Other",0,0,"06","DO","Dorchester","02125","900","Outside or special property, Other","1080","","MASSACHUSETTS","","AVE",": @MBTA STA-NEWMARKET","","","","",0,0
"128460","20-0047004",0,"2020-08-21","02:41:27","553","Public service",0,0,"01","EB","East Boston","02128","962","Residential street, road or residential driveway","4","","FORD","","ST","","","","","",0,0
"343373","16-0013174",0,"2016-02-27","04:09:20","553","Public service",0,0,"06","SB","South Boston","02210","963","Street or road in commercial area","","","SUMMER","","ST","","","MELCHER","","ST",0,0
"331160","16-0036537",0,"2016-06-10","17:25:18","600","Good intent call, Other",0,0,"04","BO","Boston","02118","960","Street, Other","1651","","WASHINGTON","","ST","","","","","",0,0
"104201","21-0012728",0,"2021-03-11","07:42:42","745","Alarm system activation, no fire - unintentional",0,0,"04","RX","Roxbury","02118","429","Multifamily dwelling","607-627","","COLUMBUS","","AVE",": #CLM327","","","","",0,0
"127178","20-0049160",0,"2020-08-31","01:54:27","712","Direct tie to FD, malicious false alarm",0,0,"03","BO","Boston","02203","952","Railroad yard","1","","CAMBRIDGE","","ST",": #33-1262","","","","",0,0
"380392","15-0030579",0,"2015-05-15","06:36:47","113","Cooking fire, confined to container",0,0,"11","BR","Allston-Brighton","02135","429","Multifamily dwelling","315","","ALLSTON","","ST","","","","","",0,0
"207071","18-0085089",0,"2018-12-25","06:52:16","553","Public service",0,0,"03","BO","Boston","02114","400","Residential, Other","6","","WHITTIER","","PL","","","","","",0,0
"231214","18-0044302",0,"2018-07-09","03:37:13","600","Good intent call, Other",0,0,"03","","","02210","963","Street or road in commercial area","","","DEWEY SQUARE PARKS","","",": @SQ-DEWEY SQUARE","","","","",0,0
"254852","18-0002436",0,"2018-01-08","07:35:08","714","Central station, malicious false alarm",0,0,"03","BO","Boston","02108","500","Mercantile, business, Other","349","","WASHINGTON","","ST","","","","","",0,0
"188302","19-0031612",0,"2019-05-27","20:49:43","711","Municipal alarm system, malicious false alarm",0,0,"08","MT","Mattapan","02126","963","Street or road in commercial area","","","CUMMINS","","HWY",": #3671","","FAVRE","","ST",0,0
"65422","21-0076916",0,"2021-12-11","20:22:39","553","Public service",0,0,"04","BO","Boston","02115","960","Street, Other","393","","MASSACHUSETTS","","AVE",": @MBTA STA-MASS AVE","","","","",0,0
"312647","16-0070588",0,"2016-10-23","17:20:07","113","Cooking fire, confined to container",0,50,"08","MT","Mattapan","02126","429","Multifamily dwelling","442","","RIVER","","ST","","","","","",50,0
"238","23-0012479",0,"2023-02-17","19:06:14","553","Public service",0,0,"06","RX","Roxbury","02118","926","Outbuilding, protective shelter","112","","SOUTHAMPTON","","ST",": @SHELTER-SOUTHAMPTON STREET - 112 SOUT","","","","",0,0
"70299","21-0068692",0,"2021-11-05","08:41:42","700","False alarm or false call, Other",0,0,"04","BO","Boston","02215","460","Dormitory-type residence, other","390","","COMMONWEALTH","","AVE",": #13-1584","","","","",0,0
"410210","14-2019659",0,"2014-09-16","00:21:02","611","Dispatched & cancelled en route",0,0,"12","DO","Dorchester","02131","","","","","CANTERBURY","","ST","","","MORTON","","ST",0,0
"147779","20-0015538",0,"2020-03-14","14:44:51","113","Cooking fire, confined to container",0,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","28","","ELMHURST","","ST","","","","","",0,0
"244958","18-0019846",0,"2018-03-24","16:12:41","113","Cooking fire, confined to container",0,0,"07","RX","Roxbury","02119","429","Multifamily dwelling","434","","DUDLEY","","ST",": #INS624","","","","",0,0
"414269","14-2012623",0,"2014-08-13","22:57:24","113","Cooking fire, confined to container",0,0,"07","DO","Dorchester","02125","429","Multifamily dwelling","713","","DUDLEY","","ST",": #12-1744","","","","",0,0
"65886","21-0075856",0,"2021-12-07","09:20:58","553","Public service",0,0,"07","RX","Roxbury","02119","400","Residential, Other","104","","WINTHROP","","ST","","","","","",0,0
"311264","16-0072856",0,"2016-11-02","09:58:49","552","Police matter",0,0,"08","MT","Mattapan","02126","419","1 or 2 family dwelling","54","","REXFORD","","ST","","","","","",0,0
"92121","21-0033644",0,"2021-06-16","22:38:01","745","Alarm system activation, no fire - unintentional",0,0,"07","DO","Dorchester","02122","429","Multifamily dwelling","32-38","","DICKENS","","ST","","","","","",0,0
"35962","22-0043927",0,"2022-07-09","13:39:39","113","Cooking fire, confined to container",0,0,"01","EB","East Boston","02128","429","Multifamily dwelling","379","","MERIDIAN","","ST",": #CLM401","","","","",0,0
"188412","19-0031393",0,"2019-05-26","19:38:40","511","Lock-out",0,0,"07","RX","Roxbury","02119","900","Outside or special property, Other","17","","ROCKVILLE","","PARK","","","","","",0,0
"268283","17-0065776",0,"2017-10-05","09:52:46","553","Public service",0,0,"09","JP","Jamaica Plain","02130","154","Memorial structure, including monuments & statues","44","","PERKINS","","ST","","","","","",0,0
"9667","22-0087879",0,"2022-12-22","19:14:52","711","Municipal alarm system, malicious false alarm",0,0,"07","DO","Dorchester","02121","900","Outside or special property, Other","","","GREENWOOD","","ST",": #3367","","MAYBROOK","","ST",0,0
"43343","22-0031825",0,"2022-05-22","16:27:48","611","Dispatched & cancelled en route",0,0,"07","DO","Dorchester","02124","","","452","","GENEVA","","AVE","","","","","",0,0
"210772","18-0079070",0,"2018-11-27","21:37:08","552","Police matter",0,0,"12","RS","Roslindale","02131","962","Residential street, road or residential driveway","56","","NEPONSET","","AVE","","","","","",0,0
"97951","21-0023437",0,"2021-05-02","09:27:37","531","Smoke or odor removal",0,0,"04","BO","Boston","02111","174","Rapid transit station","640","","WASHINGTON","","ST",": @MBTA STA-CHINATOWN","","","","",0,0
"146684","20-0017256",0,"2020-03-24","10:31:18","500","Service Call, other",0,0,"04","BO","Boston","02118","400","Residential, Other","574","","MASSACHUSETTS","","AVE","","","","","",0,0
"121490","20-0058436",0,"2020-10-12","03:35:44","745","Alarm system activation, no fire - unintentional",0,0,"09","DO","Dorchester","02121","429","Multifamily dwelling","304","","SEAVER","","ST","","","","","",0,0
"41999","22-0033949",0,"2022-05-31","11:02:56","743","Smoke detector activation, no fire - unintentional",0,0,"03","CH","Charlestown","02129","500","Mercantile, business, Other","500","","RUTHERFORD","","AVE","","","","","",0,0
"64997","21-0077621",0,"2021-12-14","19:32:57","522","Water or steam leak",0,0,"06","SB","South Boston","02127","429","Multifamily dwelling","325","E","EIGHTH","","ST","","","","","",0,0
"338959","16-0022029",0,"2016-04-08","23:21:20","611","Dispatched & cancelled en route",0,0,"11","BR","Allston-Brighton","02134","","","360","","WESTERN","","AVE","","","","","",0,0
